,댓글,출처
39666,@on_ash 이거 아랑?,./data\유머 짤.csv
39667,@donggl2_dd 아빠 동생사조,./data\유머 짤.csv
39668,@__be.agem 이거알아? ㅋㅋㅋㅋㅋㅋ 예전에 이광고 진짜 좋아했눈딩,./data\유머 짤.csv
39669,@nail_meniki 조카하나사줘,./data\유머 짤.csv
39670,@rafael_jeon ㅠㅠㅠㅠㅠㅠ너무 귀엽지ㅜ,./data\유머 짤.csv
39671,@pf.ha_nny ㅋㅋ,./data\유머 짤.csv
39672,@becky0248 이걸 봐도 애기가 안 귀여워?,./data\유머 짤.csv
39673,@535_homme 쥰나 추억이고 개귀여워..,./data\유머 짤.csv
39674,@hi._.y00ung 아빠 동생 사조,./data\유머 짤.csv
39675,@bag_gxhx 아빵 동댕하나 사됴,./data\유머 짤.csv
39676,@mmi.n2 종나기엽다ㅜㅜㅜㅜㅜ,./data\유머 짤.csv
39677,@_jung_hyun____ 오구오궁 귀여버라,./data\유머 짤.csv
39678,@9_sseul ㅋㅋㅋ너무 귀여워,./data\유머 짤.csv
39679,@sungaj7218 주기적으로봐줘야함,./data\유머 짤.csv
39680,@kimdscc 미쳐쏘ㅠㅠ,./data\유머 짤.csv
39681,앜ㅋㅋㅠㅠ넘귀여웤ㅋㅋㅋㅋㅋㅋ,./data\유머 짤.csv
39682,@coveredby__ 구레에?? ㅋㅋㅋㅋ😭,./data\유머 짤.csv
39683,@dlwnfka 찡찡거리는것도 이렇게 찡찡거리면 봐줌,./data\유머 짤.csv
39684,@kootivemonster,./data\유머 짤.csv
39685,@lxxchangha,./data\유머 짤.csv
39686,@brandon_h____ @jkokoko.__ 😍😍😍,./data\유머 짤.csv
39687,@ju_.dragon,./data\유머 짤.csv
39688,@mangx2_chu 약간 @jy1219_ouo 닮음,./data\유머 짤.csv
39689,@zo_chyy 아빠 내가 일찍 잘까??,./data\유머 짤.csv
39690,@jojuhwang6,./data\유머 짤.csv
39691,@j_hyunnnny 너무귀여워ㅜㅜㅠㅠ,./data\유머 짤.csv
39692,@frog860311,./data\유머 짤.csv
39693,@s.ean_cha 아아 스콘 사죠~~~~사죠~~~~,./data\유머 짤.csv
39694,@ings_chan,./data\유머 짤.csv
39695,@eeyngjn,./data\유머 짤.csv
39696,@m_ssoung 이애기땜에 미떼 많이 사먹었뮨데..,./data\유머 짤.csv
39697,@04.o1 100번 돌려보는중 😭,./data\유머 짤.csv
39698,@kungkwangmin,./data\유머 짤.csv
39699,@hyunjun___e,./data\유머 짤.csv
39700,@chanjin_911 너무 귀엽디 진짜 ㅠㅠ,./data\유머 짤.csv
39701,@n.ky_92,./data\유머 짤.csv
39702,@kimbomiyam,./data\유머 짤.csv
39703,@thumbsss_bro,./data\유머 짤.csv
39704,@a_ongee 이거 백만번 봐도 안질려,./data\유머 짤.csv
39705,@fouteezu,./data\유머 짤.csv
39706,@friendshipkim_,./data\유머 짤.csv
39707,@dawn_0318 기여운거 보세여,./data\유머 짤.csv
39708,@dongki107 다리에 붙은거바 아이고 나 죽어,./data\유머 짤.csv
39709,@se1_j,./data\유머 짤.csv
39710,@yun_sang96 나도!!,./data\유머 짤.csv
39711,@gummy.gom @ps.jmj 졸귀😭😭,./data\유머 짤.csv
39712,@_21_yyyy,./data\유머 짤.csv
39713,@springseternall,./data\유머 짤.csv
39714,@gwangsu._.y,./data\유머 짤.csv
39715,@rak.hyun 동생 하나 사죠,./data\유머 짤.csv
39716,@watchiswatch_,./data\유머 짤.csv
39717,@ehee_g 하앍,./data\유머 짤.csv
39718,@didtpwls_1024,./data\유머 짤.csv
39719,@heonss 남편하나 사죠,./data\유머 짤.csv
39720,@love.today,./data\유머 짤.csv
39721,@madamddoo,./data\유머 짤.csv
39722,@jmoonsik 😂😂,./data\유머 짤.csv
39723,@chlo2han 미침 ㅠㅠ 졸귀탱,./data\유머 짤.csv
39724,@zoo3bl4,./data\유머 짤.csv
39725,@__giseok__,./data\유머 짤.csv
39726,@j_hun0112 ㅋㅋㅋ 귀여워 ㅠㅠㅠㅠ,./data\유머 짤.csv
39727,@nonoyeun ㅠㅜ,./data\유머 짤.csv
39728,@_heejun__ 아씨 졸귀탱,./data\유머 짤.csv
39729,@hihello_u2 기여워 죽겠다,./data\유머 짤.csv
39730,@amethyst_1i 혼자는 안된다,./data\유머 짤.csv
39731,@economy_bae 제일구여워 아주,./data\유머 짤.csv
39732,@high_jam5 ㅠㅠㅠㅠㅠㅠ,./data\유머 짤.csv
39733,@c_g_won 근원이같아ㅇ〰️,./data\유머 짤.csv
39734,@jorim._.522 왤케귀여워?!,./data\유머 짤.csv
39735,@1___28__ 하ㅜㅜ 기여워,./data\유머 짤.csv
39736,@taeback_04,./data\유머 짤.csv
39737,@s_deuk_y,./data\유머 짤.csv
39738,@minseok1057 아덜 ~~~,./data\유머 짤.csv
39739,@mh___hyun 윽 ㅠ 내 심장,./data\유머 짤.csv
39740,@1oanol,./data\유머 짤.csv
39741,@chaebin_417 켘 심장에 무리오는 귀여움이군,./data\유머 짤.csv
39742,@morning_hyeong_in_gan 개개개객ㄱㄱ귀여워..,./data\유머 짤.csv
39743,@ehdehd4588,./data\유머 짤.csv
39744,@ahn_hyunjung,./data\유머 짤.csv
39745,@yb__london,./data\유머 짤.csv
39746,@emmajichuu,./data\유머 짤.csv
39747,@mrda_com,./data\유머 짤.csv
39748,@ho_stagraam,./data\유머 짤.csv
39749,@youngseokm @_mizzni_ 기여엉😭,./data\유머 짤.csv
39750,@seebbread 열번째보는즁 ....,./data\유머 짤.csv
39751,@__mi__12.4,./data\유머 짤.csv
39752,@jak_g7_ 사됴 사됴오~~,./data\유머 짤.csv
39753,@jo____s__b__ 개귀욤,./data\유머 짤.csv
39754,@jiyu_vely_ 동생하나사줘🔥,./data\유머 짤.csv
39755,@hayeonism,./data\유머 짤.csv
39756,@jjjinho_2 이 광고 진짜 귀여웠는데 ㅠㅠ,./data\유머 짤.csv
39757,@o92o_ss 이렇게 해봐 ㅎㅎㅎ😁,./data\유머 짤.csv
39758,@mideulh 사조사조,./data\유머 짤.csv
39759,@1.83m.kyeongmo 니 이거 기억나냐 중학교때 패러디한거 ㅋㅋㅋㅋㅋㅋ,./data\유머 짤.csv
39760,@hyein_____18 앜ㅋㅋㅋㅋ 존나 귀엽다,./data\유머 짤.csv
39761,@derzza2 애기 넘귀여웡 다리에 붙어있을때ㅋㅋㅋ,./data\유머 짤.csv
39762,@hgkim0 너무 예뻐 ㅠㅠ,./data\유머 짤.csv
39763,@sumsumi_99 나 죽어따😇,./data\유머 짤.csv
39764,@hoo.ss,./data\유머 짤.csv
39765,@singsoong__ ㅠㅠㅠㅠㅠ힝두힝구,./data\유머 짤.csv
39766,@__d0ngye0ng__,./data\유머 짤.csv
39767,@agi._.yoo 너무 귀여워서 나죽어 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ진짜 너무 귀여워..,./data\유머 짤.csv
39768,@grxxnchoi 하 귀여우,./data\유머 짤.csv
39769,실제아이들이 저렇게이쁘게때쓰면좋겠다..😣,./data\유머 짤.csv
39770,@h_wong21 동생하나만 사조,./data\유머 짤.csv
39771,@rummmii_ 아 졸라귀여워,./data\유머 짤.csv
39772,@yo.o.jin,./data\유머 짤.csv
39773,@up_down._.mini,./data\유머 짤.csv
39774,@92.95.20,./data\유머 짤.csv
39775,@c10._.26j 헐.........,./data\유머 짤.csv
39776,@yoon_joo06,./data\유머 짤.csv
39777,@tlqkf2382 귀여어,./data\유머 짤.csv
39778,@jiwon__6870너무구ㅏ여워ㅠㅠㅠㅠㅠㅠㅠ,./data\유머 짤.csv
39779,@ui_jinni 민하가 이런느낌...,./data\유머 짤.csv
39780,@nonbyeol ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ돈뫈퉌데..ㅋㅋㅋ,./data\유머 짤.csv
39781,@rram0_125 쌉기염,./data\유머 짤.csv
39782,@0320_jaehyeon,./data\유머 짤.csv
39783,@90ji_hye,./data\유머 짤.csv
39784,@zzisunny.826 졸귀탱,./data\유머 짤.csv
39785,@ansxogmlqkqh,./data\유머 짤.csv
39786,@_cxanyxung 역대급 귀여워,./data\유머 짤.csv
39787,@sia_felice 이거바ㅜ,./data\유머 짤.csv
39788,@yooooooo_pan,./data\유머 짤.csv
39789,@123_jini_,./data\유머 짤.csv
39790,@iamautumnyun,./data\유머 짤.csv
39791,@workwearmxn 귀여워ㅜㅜㅜㅜ,./data\유머 짤.csv
39792,@geon_hoya 밍또같은 딸 사죠,./data\유머 짤.csv
39793,@hyeonggu_b 이뻐 ㅠㅠㅠㅠ,./data\유머 짤.csv
39794,@hyunho.yu 귀여워 ㅋㅋㅋ,./data\유머 짤.csv
