,댓글,출처,,,,라벨링
59499,"현송월
리설주 고민정
김여정 성해림 심상정",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59500,기생 윤채신 은 오타 같다. 윤채선 인듯 하다.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59501,게이야 잘보고간다 정성 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59502,진짜 역사 교과서 보면 모순점이 많지 일제탄압이 심했으면 독립운동 같은건 꿈도 못꿀일이지 북한처럼,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59503,이런거보면 위안부는 자원해서간게 팩트구만,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,2
59504,조선인들이 일본스시녀있는 빡촌에서 떡치고 놀수도 있었노?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,2
59505,지금 시간 없으니까 나중에 한번 읽어볼게.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59506,이런글은 ㅇㅂ좀 주자 게이들아,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59507,와.. 이런건 처음본다 참고문헌봐 ㄷㄷ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59508,정보게이가 아직도 살아 있다니 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59509,열강 밤문화게이 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59510,와 진짜 양질의정보글이다 미친 참고문헌보소...이런건 돈주고봐야할거같은정보글이다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59511,정보게이 ㅇㅂ ㅇㅂ ㅇㅂ ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59512,신세계 옥상에서 찍은사진보소 얼굴도 자연스럽고 당시 딱딱한 표정 일색인 인물사진 중에서는 상당한 수준이네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59513,일본 아니었으면 서울에 흙바닥 똥 초가집만 가득했을듯,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,1
59514,"영화계의 딜레마가 일제하에 경성시내 유흥이나 신문물, 여가활동, 예술 이런쪽으로 소재가 무궁무진한데

식민지시기의 암울한 분위기를 부정하는 쪽으로 가버리면 문제가 되니까 소재선택에 제한이 많다 ㅋㅋ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59515,@고양이택배 ㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
59516,아리랑 기원 가사의뜻 유래에 대해서 찾아봤는데 제대로 된게 없더라 혹시 갖고있는 자료있으면 링크 바란다.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,0
